temperatura,epsilon,M,m,CH,xi
0.0,-2.0,-2500.0,1.0,NaN,NaN
0.001,-2.0,-2500.0,1.0,0.0,0.0
0.002,-2.0,-2500.0,1.0,0.0,0.0
0.003,-2.0,-2500.0,1.0,0.0,0.0
0.004,-2.0,-2500.0,1.0,0.0,0.0
0.005,-2.0,-2500.0,1.0,0.0,0.0
0.006,-2.0,-2500.0,1.0,0.0,0.0
0.007,-2.0,-2500.0,1.0,0.0,0.0
0.008,-2.0,-2500.0,1.0,0.0,0.0
0.009,-2.0,-2500.0,1.0,0.0,0.0
0.01,-2.0,-2500.0,1.0,0.0,0.0
0.011,-2.0,-2500.0,1.0,0.0,0.0
0.012,-2.0,-2500.0,1.0,0.0,0.0
0.013,-2.0,-2500.0,1.0,0.0,0.0
0.014,-2.0,-2500.0,1.0,0.0,0.0
0.015,-2.0,-2500.0,1.0,0.0,0.0
0.016,-2.0,-2500.0,1.0,0.0,0.0
0.017,-2.0,-2500.0,1.0,0.0,0.0
0.018,-2.0,-2500.0,1.0,0.0,0.0
0.019,-2.0,-2500.0,1.0,0.0,0.0
0.02,-2.0,-2500.0,1.0,0.0,0.0
0.021,-2.0,-2500.0,1.0,0.0,0.0
0.022,-2.0,-2500.0,1.0,0.0,0.0
0.023,-2.0,-2500.0,1.0,0.0,0.0
0.024,-2.0,-2500.0,1.0,0.0,0.0
0.025,-2.0,-2500.0,1.0,0.0,0.0
0.026,-2.0,-2500.0,1.0,0.0,0.0
0.027,-2.0,-2500.0,1.0,0.0,0.0
0.028,-2.0,-2500.0,1.0,0.0,0.0
0.029,-2.0,-2500.0,1.0,0.0,0.0
0.03,-2.0,-2500.0,1.0,0.0,0.0
0.031,-2.0,-2500.0,1.0,0.0,0.0
0.032,-2.0,-2500.0,1.0,0.0,0.0
0.033,-2.0,-2500.0,1.0,0.0,0.0
0.034,-2.0,-2500.0,1.0,0.0,0.0
0.035,-2.0,-2500.0,1.0,0.0,0.0
0.036,-2.0,-2500.0,1.0,0.0,0.0
0.037,-2.0,-2500.0,1.0,0.0,0.0
0.038,-2.0,-2500.0,1.0,0.0,0.0
0.039,-2.0,-2500.0,1.0,0.0,0.0
0.04,-2.0,-2500.0,1.0,0.0,0.0
0.041,-2.0,-2500.0,1.0,0.0,0.0
0.042,-2.0,-2500.0,1.0,0.0,0.0
0.043,-2.0,-2500.0,1.0,0.0,0.0
0.044,-2.0,-2500.0,1.0,0.0,0.0
0.045,-2.0,-2500.0,1.0,0.0,0.0
0.046,-2.0,-2500.0,1.0,0.0,0.0
0.047,-2.0,-2500.0,1.0,0.0,0.0
0.048,-2.0,-2500.0,1.0,0.0,0.0
0.049,-2.0,-2500.0,1.0,0.0,0.0
0.05,-2.0,-2500.0,1.0,0.0,0.0
0.051,-2.0,-2500.0,1.0,0.0,0.0
0.052,-2.0,-2500.0,1.0,0.0,0.0
0.053,-2.0,-2500.0,1.0,0.0,0.0
0.054,-2.0,-2500.0,1.0,0.0,0.0
0.055,-2.0,-2500.0,1.0,0.0,0.0
0.056,-2.0,-2500.0,1.0,0.0,0.0
0.057,-2.0,-2500.0,1.0,0.0,0.0
0.058,-2.0,-2500.0,1.0,0.0,0.0
0.059,-2.0,-2500.0,1.0,0.0,0.0
0.06,-2.0,-2500.0,1.0,0.0,0.0
0.061,-2.0,-2500.0,1.0,0.0,0.0
0.062,-2.0,-2500.0,1.0,0.0,0.0
0.063,-2.0,-2500.0,1.0,0.0,0.0
0.064,-2.0,-2500.0,1.0,0.0,0.0
0.065,-2.0,-2500.0,1.0,0.0,0.0
0.066,-2.0,-2500.0,1.0,0.0,0.0
