temperatura,epsilon,M,m,CH,chi
0.05,-2.0,-1600.0,1.0,0.0,0.0
0.1,-2.0,-1600.0,1.0,0.0,0.0
0.15,-2.0,-1600.0,1.0,0.0,0.0
0.2,-2.0,-1600.0,1.0,0.0,0.0
0.25,-2.0,-1600.0,1.0,0.0,0.0
0.3,-1.9999625,-1599.985,0.9999906249999999,5.306599832915626,0.09949874686716784
0.35,-1.99989375,-1599.955,0.999971875,11.87540279269602,0.30927318295739314
0.4,-1.9997,-1599.88,0.9999250000000001,22.616541353383436,0.5654135338345871
0.45,-1.9990187499999998,-1599.6,0.9997499999999999,66.41344100993228,2.049568365357839
0.5,-1.99691875,-1598.725,0.999203125,162.86756892230588,5.703007518796985
0.55,-1.99404375,-1597.555,0.998471875,267.840178959796,10.046889952153125
0.6,-1.988625,-1595.265,0.997040625,487.3294346978556,20.968713450292388
0.65,-1.98048125,-1591.69,0.99480625,576.321513843781,29.80358588779641
0.7,-1.96765,-1586.06,0.9912875,937.573321057746,55.6482635159327
0.75,-1.9505875000000001,-1578.095,0.986309375,1267.6605291005285,88.75652464494564
0.8,-1.928175,-1567.43,0.97964375,1727.3709273182947,148.38984962406022
0.85,-1.89643125,-1550.76,0.969225,2275.0244469304744,244.3077104526021
0.9,-1.8607562500000001,-1531.005,0.956878125,2935.7540765493973,426.065135059872
0.95,-1.81013125,-1502.24,0.9389,3528.462041530419,626.7694499406408
1.0,-1.7445375,-1455.39,0.90961875,4253.526215538848,1117.9026566416044
1.05,-1.6637437499999999,-1394.0,0.87125,5685.760796549194,2438.8399570354454
1.1,-1.5574312499999998,-1292.34,0.8077124999999999,8000.851633215269,5370.193119161539
1.15,-1.4291562500000001,-1131.19,0.7069937500000001,9406.758863131361,12140.371711888421
1.2,-1.2852000000000001,-907.07,0.56691875,8820.925647451964,20072.694319131162
1.25,-1.16118125,-662.185,0.41386562499999996,6819.062311779449,29052.788591478697
1.3,-1.04838125,-393.93,0.24620625000000002,5806.167430410343,30158.39221129746
1.35,-0.96548125,-222.075,0.138796875,4031.6798030742148,26461.326928432183
1.4,-0.91105,-102.77,0.06423125,3607.619865991509,19008.927389903336
1.45,-0.85588125,-53.72,0.033575,2870.0774051657086,15292.66034050644
1.5,-0.81700625,-19.59,0.01224375,2454.623625730994,12799.473283208019
1.55,-0.78081875,-3.17,0.00198125,2336.6820380816766,9949.38384671356
1.6,-0.7438750000000001,-4.36,0.002725,2182.503132832081,8518.515288220551
1.65,-0.71135,-3.22,0.0020125,1746.6971008789196,8105.06970456444
1.7,-0.68715,-3.555,0.002221875,1676.16494523506,6207.054091110128
1.75,-0.6589562499999999,-8.85,0.00553125,1567.9136126029357,5536.06731113498
1.8,-0.63365625,-2.105,0.001315625,1401.8680961663417,4519.152868281816
1.85,-0.612725,0.055,3.4375e-5,1276.9602311110134,4170.928388538915
1.9,-0.5927250000000001,-2.325,0.0014531250000000002,1321.4283353813896,4332.021830893023
1.95,-0.57388125,2.915,0.001821875,1147.9786646102436,3565.5769037979567
2.0,-0.55555625,0.495,0.00030937499999999997,1005.9067418546368,3383.511265664161
2.05,-0.5455375,-3.27,0.00204375,975.4166260386241,2988.1274405526015
2.1,-0.5238812500000001,1.225,0.000765625,965.469433220239,3143.415383697338
2.15,-0.5100875,-5.355,0.0033468750000000005,772.7139156707348,2646.539126886984
2.2,-0.4969125,-3.495,0.002184375,791.0181238219515,2222.608783321941
2.25,-0.48575625,5.635,0.003521875,806.3488895077198,2146.7610247841817
2.3,-0.467675,0.725,0.00045312499999999997,695.0157245666148,2066.7862591260773
2.35,-0.46174374999999995,-2.97,0.00185625,700.5101527018086,2190.736031568282
2.4,-0.44819375,-1.025,0.0006406249999999999,745.7267996379837,2239.3982351712616
2.45,-0.43727499999999997,1.28,0.0008,557.9146366541089,1954.773300598435
2.5,-0.4293875,0.06,3.75e-5,646.2619909774437,1994.2802606516293
2.55,-0.4145875,0.325,0.00020312500000000002,608.3342766759267,1800.9275640080593
2.6,-0.4045125,-2.54,0.0015875,566.841897643517,1710.587391555813
2.65,-0.399925,4.985,0.0031156250000000003,540.7360480232263,1479.926145552561
2.7,-0.3959375,1.46,0.0009125,529.905009437173,1648.7843311983663
2.75,-0.3867625,-4.285,0.002678125,450.6456355765447,1531.584880382775
2.8,-0.37729375,-0.1,6.25e-5,439.08893406986874,1454.024346580738
2.85,-0.36538125,3.21,0.00200625,429.995629270159,1453.2316405047707
2.9,-0.36388125000000004,-3.8,0.002375,443.78674391090686,1303.8942183043814
2.95,-0.35673125,6.175,0.003859375,458.56521222619887,1361.2605666709137
3.0,-0.34995624999999997,10.855,0.0067843750000000005,423.0615538847118,1204.250284043442
3.05,-0.34228125,-1.485,0.000928125,356.60637754019575,1257.8281030444964
3.1,-0.33535625,3.32,0.002075,402.057704093741,1077.3894736842108
3.15,-0.33130000000000004,-0.325,0.00020312500000000002,413.5502373974746,997.81656522258
3.2,-0.32465625000000004,-0.46,0.0002875,311.51878720238096,1001.951253132832
3.25,-0.317375,2.345,0.0014656250000000001,311.20831664961213,978.8690109890111
3.3,-0.3145,3.23,0.00201875,348.04366287619877,1048.1133439659757
3.35,-0.30967500000000003,-1.315,0.000821875,351.5002342121733,1029.589129540269
3.4,-0.30404375,4.065,0.0025406250000000003,295.95260642956873,1002.8558970956805
3.45,-0.3006875,3.215,0.002009375,312.3178667104645,933.2588790817622
3.5,-0.2977625,-7.735,0.004834375,303.1369116669224,945.9648478338702
3.55,-0.2890875,3.985,0.002490625,304.9455338405526,866.9362914328076
3.6,-0.28706875,0.985,0.000615625,341.9384804604101,892.698350041771
3.65,-0.2814625,-2.85,0.00178125,281.03167658308837,748.4457719641568
