temperatura,epsilon,M,m,ch,chi
0.01,-2.0,-2500.0,1.0,0.0,0.0
0.02,-2.0,-2500.0,1.0,0.0,0.0
0.03,-2.0,-2500.0,1.0,0.0,0.0
0.04,-2.0,-2500.0,1.0,0.0,0.0
0.05,-2.0,-2500.0,1.0,0.0,0.0
0.06,-2.0,-2500.0,1.0,0.0,0.0
0.07,-2.0,-2500.0,1.0,0.0,0.0
0.08,-2.0,-2500.0,1.0,0.0,0.0
0.09,-2.0,-2500.0,1.0,0.0,0.0
0.1,-2.0,-2500.0,1.0,0.0,0.0
0.11,-2.0,-2500.0,1.0,0.0,0.0
0.12,-2.0,-2500.0,1.0,0.0,0.0
0.13,-2.0,-2500.0,1.0,0.0,0.0
0.14,-2.0,-2500.0,1.0,0.0,0.0
0.15,-2.0,-2500.0,1.0,0.0,0.0
0.16,-2.0,-2500.0,1.0,0.0,0.0
0.17,-2.0,-2500.0,1.0,0.0,0.0
0.18,-2.0,-2500.0,1.0,0.0,0.0
0.19,-2.0,-2500.0,1.0,0.0,0.0
0.2,-2.0,-2500.0,1.0,0.0,0.0
0.21,-2.0,-2500.0,1.0,0.0,0.0
0.22,-2.0,-2500.0,1.0,0.0,0.0
0.23,-2.0,-2500.0,1.0,0.0,0.0
0.24,-2.0,-2500.0,1.0,0.0,0.0
0.25,-2.0,-2500.0,1.0,0.0,0.0
0.26,-2.0,-2500.0,1.0,0.0,0.0
0.27,-2.0,-2500.0,1.0,0.0,0.0
0.28,-2.0,-2500.0,1.0,0.0,0.0
0.29,-2.0,-2500.0,1.0,0.0,0.0
0.3,-2.0,-2500.0,1.0,0.0,0.0
0.31,-1.9999360000000002,-2499.96,0.999984,13.31945889698231,0.2580645161290323
0.32,-1.9999360000000002,-2499.96,0.999984,12.500000000000002,0.25000000000000006
0.33,-2.0,-2500.0,1.0,0.0,0.0
0.34,-1.9998080000000003,-2499.88,0.9999520000000001,31.86215662735682,0.6770708283313325
0.35,-1.9999360000000002,-2499.96,0.999984,10.448979591836737,0.2285714285714286
0.36,-1.9999360000000002,-2499.96,0.999984,9.876543209876546,0.22222222222222227
0.37,-1.999872,-2499.92,0.9999680000000001,18.318152681087042,0.42360728075013787
0.38,-1.9994880000000002,-2499.68,0.999872,60.78353779184804,1.4436090225563911
0.39,-1.9999360000000002,-2499.96,0.999984,8.415516107823802,0.20512820512820515
0.4,-1.9998080000000003,-2499.88,0.9999520000000001,23.020408163265305,0.5755102040816327
0.41,-1.999744,-2499.84,0.999936,44.13310832959001,1.1309109009457436
0.42,-1.999296,-2499.56,0.9998239999999999,93.14637419593687,2.4450923226433425
0.43,-1.9989439999999998,-2499.32,0.9997280000000001,111.64556682597322,3.2691029900332227
0.44,-1.9990400000000002,-2499.4,0.99976,84.331253162422,2.319109461966605
0.45,-1.998688,-2499.12,0.999648,131.22499370118416,4.4117913832199545
0.46,-1.9989119999999998,-2499.32,0.9997280000000001,106.29219551714826,3.0559006211180124
0.47,-1.9986240000000002,-2499.12,0.999648,118.28419914819706,3.8766825879287876
0.48,-1.9984,-2499.0,0.9996,104.875283446712,3.1462585034013606
0.49,-1.997568,-2498.48,0.9993920000000001,169.2900067148892,5.184506455643482
0.5,-1.997312,-2498.32,0.9993280000000001,223.19020408163266,6.9746938775510205
0.51,-1.996576,-2497.8,0.9991200000000001,241.06269958963978,9.043617446978791
0.52,-1.996128,-2497.52,0.999008,335.92561284868975,11.792778649921507
0.53,-1.995232,-2496.96,0.998784,252.227170683154,9.007316134000769
0.54,-1.9937599999999998,-2495.96,0.998384,502.22558159066097,19.195767195767193
0.55,-1.9938240000000003,-2496.0,0.9984,390.7788834542081,14.84230055658627
0.56,-1.991104,-2494.36,0.9977440000000001,566.7638483965015,20.026239067055393
0.57,-1.9934720000000001,-2495.84,0.9983360000000001,281.08366153478937,10.838524883637668
0.58,-1.9905279999999999,-2493.96,0.997584,486.96158606129734,18.43490499648135
0.59,-1.990784,-2493.96,0.997584,575.1291266291063,27.25423728813559
0.6,-1.9880959999999999,-2492.2,0.9968799999999999,533.6235827664398,22.108843537414966
0.61,-1.987552,-2491.88,0.9967520000000001,934.2057489483299,40.79223820675812
0.62,-1.985952,-2490.88,0.996352,656.27216547389,28.481895984200136
0.63,-1.982464,-2488.32,0.9953280000000001,1092.4830703256357,50.62779397473275
0.64,-1.9814720000000001,-2487.8,0.9951200000000001,1317.1077806122446,61.28826530612245
0.65,-1.9806400000000002,-2487.16,0.994864,665.040454051443,31.670957613814753
0.66,-1.979008,-2486.2,0.9944799999999999,1369.7494424767153,68.58379715522572
0.67,-1.9761279999999999,-2484.04,0.9936159999999999,999.2171339464721,53.48522692659154
